oid,category
749208109,basketball
452466036,martial_arts
161038103,tennis
663621910,boardgames
566255305,tennis
332983824,volleyball
306441436,extreme
770457906,volleyball
720955404,boardgames
950885012,athletics
623907520,athletics
357676832,martial_arts
463889624,boardgames
769116238,athletics
902512702,winter_sport
573984210,hockey
867549202,boardgames
469446016,football
517149005,basketball
631811222,tennis
289454822,football
633244217,winter_sport
54310919,volleyball
731046922,athletics
759095431,autosport
23592715,winter_sport
568705033,martial_arts
746261621,boardgames
223960908,hockey
343811314,hockey
39021409,motosport
433430409,winter_sport
191288802,extreme
773806324,winter_sport
42587423,autosport
909050028,volleyball
381764623,extreme
896686111,winter_sport
759592926,winter_sport
475206109,volleyball
123458214,winter_sport
733364110,autosport
571093038,volleyball
86508807,tennis
982942625,extreme
150043234,autosport
194604309,basketball
142857803,winter_sport
53073826,volleyball
444234900,tennis
735418021,tennis
710293600,football
78410435,martial_arts
529343505,hockey
234810038,autosport
939038022,motosport
624444012,boardgames
10212412,volleyball
249455008,boardgames
816073817,autosport
292582612,winter_sport
168872231,martial_arts
610073730,tennis
804591616,extreme
708450700,winter_sport
595692823,extreme
375824633,winter_sport
424194001,athletics
675267313,winter_sport
380261015,boardgames
713757600,motosport
698363821,volleyball
163267719,hockey
28225423,winter_sport
302563336,autosport
142601735,winter_sport
742710000,hockey
10353705,extreme
855343237,boardgames
42843917,winter_sport
750586033,martial_arts
111296917,boardgames
746261621,boardgames
649301435,martial_arts
954498427,football
891104532,martial_arts
27707002,basketball
378995810,extreme
591630036,extreme
476458720,autosport
994379631,football
567098537,basketball
282476217,basketball
663005300,tennis
224117102,hockey
360837705,football
226571001,autosport
695496003,martial_arts
443224606,motosport
301803518,motosport
3914130,boardgames
692130106,basketball
415497137,boardgames
21334510,football
479057125,basketball
245636707,extreme
569162732,boardgames
191288802,extreme
249638431,tennis
697977732,volleyball
647248211,martial_arts
332820822,martial_arts
749981730,winter_sport
74069810,motosport
652140412,autosport
56456918,basketball
184257327,motosport
244390012,winter_sport
429114239,winter_sport
880844709,athletics
169782234,autosport
449702027,hockey
379077831,boardgames
298814214,football
638216721,martial_arts
675028903,motosport
580528518,motosport
464496500,martial_arts
724673712,athletics
542970915,tennis
967849804,football
424965336,basketball
222516037,martial_arts
74652019,hockey
758394115,boardgames
514263414,tennis
181151513,martial_arts
901319525,basketball
307052612,motosport
327143311,winter_sport
991629126,winter_sport
730917226,basketball
720971414,winter_sport
371194832,football
96550538,martial_arts
963669106,basketball
883757433,tennis
429095315,tennis
952343224,boardgames
154620504,athletics
416747616,motosport
953467218,winter_sport
582543434,winter_sport
931986732,basketball
867549202,boardgames
95038303,athletics
153599208,athletics
28624709,basketball
199165412,extreme
527137328,football
780087912,boardgames
749981730,winter_sport
931986732,martial_arts
669566726,hockey
388651911,winter_sport
388468131,boardgames
907386212,hockey
780661336,motosport
859305226,basketball
656741409,winter_sport
732864905,extreme
312888017,martial_arts
692638318,football
577870231,football
714234514,extreme
817402220,boardgames
150273323,athletics
661657826,boardgames
557484721,tennis
229925816,football
19765518,basketball
806603917,winter_sport
966922207,hockey
816892913,basketball
738676239,football
461441908,boardgames
472368600,football
27943630,basketball
910049717,athletics
753336639,winter_sport
137256429,autosport
488107817,winter_sport
432194902,martial_arts
276231830,martial_arts
39708933,tennis
165244818,basketball
772243338,basketball
59932732,basketball
326063102,football
270775309,basketball
421579134,tennis
700486922,boardgames
507262500,winter_sport
341458225,extreme
423620832,motosport
395353112,boardgames
824743609,basketball
290484631,winter_sport
159768514,hockey
234253423,football
441420522,football
303452933,athletics
251684639,motosport
503664137,volleyball
330691025,boardgames
152682706,athletics
529343505,hockey
890548501,autosport
670060720,extreme
461848124,tennis
392801401,extreme
